""	"ARID2_1"	"ARID2_2"	"ARID2_3"	"ARID2_4"	"Control_1"	"Control_2"	"Control_3"	"Control_4"
"ENSG00000120129"	15430,3841608395	14524,9075155595	14302,8750883836	39515,4886271157	12383,9224641412	13328,7365446224	13730,8907028983	45361,9404459424
"ENSG00000120910"	1255,19394100684	1205,59938760494	1177,10421175415	1641,81037807318	1205,53370665124	1226,68561836285	1253,50304944164	1549,52058697302
"ENSG00000121716"	5783,89367397813	5380,30790532204	5565,79687356998	6211,73139105641	5720,70059599773	6153,02655485274	6065,3078209844	5206,27927715225
"ENSG00000121871"	1,0001545346668	0	2,7326853435964	0	0	0,890839229021679	0	1,37368846362856
"ENSG00000121895"	4068,62864702456	4269,29676754249	4402,35608853381	4042,04234811718	4521,65212745759	4251,08480089145	4487,90690329288	3954,84908678663
"ENSG00000122733"	0	4,00797668751642	4,78219935129371	6,46382038611489	6,48523811109455	0	3,65986291807778	1,37368846362856
"ENSG00000124920"	22816,5253993538	22614,6076616426	22471,5547517291	20022,7609493886	27253,1322888563	27689,9557556809	25590,6764889294	24240,1066291896
"ENSG00000126777"	49044,5779164561	46482,1088358029	47057,524788066	43083,5174802511	40664,6047025998	39154,1657939608	41796,5494901778	37242,0679374339
"ENSG00000127054"	8665,3388883532	7038,80865861633	7297,6362100742	5877,7673377738	7424,15647317857	7296,86412491657	7266,65782384344	5551,07508152302
"ENSG00000127152"	448,069231530728	496,989109252036	451,576253029306	159,440902857501	389,834868678017	405,331849204864	419,054304119906	288,474577361998
"ENSG00000128262"	34,0052541786714	20,8414787750854	32,1090527872578	15,0822475676014	31,7056085431289	24,0526591835853	35,6836634512584	8,24213078177137
"ENSG00000129595"	2269,35063915898	2585,94655878559	2371,28770690578	4138,9996539089	4167,12577738442	4102,31464964483	4135,64509742789	4453,4979990838
"ENSG00000130038"	109,016844278682	151,501518788121	131,852067828527	260,707422239967	214,733439678464	195,093791155748	225,996535191303	219,79015418057
"ENSG00000131711"	46808,2323769411	43338,251922115	45396,0520991594	34516,8008618535	30030,2553644295	28103,3051579469	31211,3109653673	18728,8685131118
"ENSG00000131747"	88481,6713729029	87947,8340495102	91400,8098586049	80530,58358381	51431,5411310415	48729,7966667149	53671,8896936107	56047,8630045089
"ENSG00000132024"	4025,62200203389	3370,70839420131	3557,95631736252	3266,38390178339	3803,23186115078	3758,45070724246	3820,8968864732	3138,87813939126
"ENSG00000132341"	40456,2509272722	37650,9330025292	36992,3614962645	34956,3406481093	33717,4735215929	32754,3767726691	34858,3643632318	31557,7450749389
"ENSG00000132646"	32771,0634828925	28470,2616021041	28994,4746668938	21436,1830071523	22794,1707964726	22369,8638799634	23425,8675728864	19664,3503568429
"ENSG00000133710"	17,0026270893357	20,0398834375821	10,2475700384865	6,46382038611489	0	0,890839229021679	0	0
"ENSG00000134013"	7909,22206014509	7344,21648220508	7848,27230680887	3447,37087259461	4590,8280006426	4842,60204896185	5115,57339374322	2259,71752266898
"ENSG00000134259"	11,0016998813349	8,01595337503283	12,2970840461838	12,9276407722298	1,44116402468768	3,56335691608672	0	0
"ENSG00000134551"	7,00108174266763	11,222334725046	14,3465980538811	6,46382038611489	2,88232804937535	16,9259453514119	6,40476010663612	15,1105730999142
"ENSG00000134760"	13,0020089506685	9,6191440500394	18,4456260692757	4,30921359074326	0	0	0	1,37368846362856
"ENSG00000135052"	25207,8948917421	24871,0985367144	24972,6450124557	30494,1499748947	20140,9878270226	19910,2567686345	20890,497536388	25767,6482007446
"ENSG00000135164"	3373,52124543113	3550,26574980204	3892,71027195308	4317,83201792474	3981,93620021205	3876,93232470235	3902,32883640043	3410,86845518972
"ENSG00000135312"	20,0030906933361	26,4526461376083	24,5941680923676	23,7006747490879	47,5584128146933	51,6686752832574	42,0884235578945	37,0895885179712
"ENSG00000135447"	0	0	2,0495140076973	0	12,2498942098453	8,90839229021679	11,8945544837528	6,86844231814281
"ENSG00000135624"	63207,7662818727	54448,3632999105	55987,940490939	61817,8235660074	45496,8276773776	44241,7486309037	46367,7182748569	49065,4045438849
"ENSG00000135631"	5642,87188459011	5260,06860469654	5503,62828200316	6203,11296387492	5697,64197160273	5647,02987276842	5442,21615918166	6459,0831559815
"ENSG00000136068"	68452,5766616654	70259,0297368253	75698,116702964	70647,4022134403	47082,1081045341	47221,6058519812	49743,9418167837	39571,843571748
"ENSG00000136274"	15,0023180200021	5,61116736252298	13,663426717982	0	7,20582012343839	16,0351061223902	19,2142803199084	1,37368846362856
"ENSG00000136352"	1,0001545346668	0,801595337503283	0	2,15460679537163	23,0586243950028	9,79923151923847	14,6394516723111	8,24213078177137
"ENSG00000136381"	12532,9364739097	13793,050972419	15153,423401578	13382,2628060532	13473,4424668051	13310,0289208129	14144,4552126411	11549,9726021889
"ENSG00000136383"	12,0018544160017	22,4446694500919	21,8614827487712	53,8651698842907	14,4116402468768	13,3625884353252	42,0884235578945	76,9265539631994
