""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ENSG00000128262"	25,215261908545	-0,0397453289518101	0,472689942359307	-0,0840832972951186	0,932990204439352	0,999590581734975
"ENSG00000129595"	3528,02101028752	0,570541819972741	0,209457192825179	2,72390655234712	0,00645147577572663	0,0171473435091682
"ENSG00000130038"	188,586471667673	0,412066351039905	0,270718017120444	1,52212385205442	0,127978050516774	0,251800969523263
"ENSG00000131711"	34766,6346576156	-0,654018486564697	0,194344110491096	-3,36526013014766	0,000764715261087444	0,00260346881021905
"ENSG00000131747"	69780,248670088	-0,731134253417669	0,0759267898468257	-9,62946352522812	6,00421225982797e-22	4,54819078681968e-20
"ENSG00000132024"	3592,76602620485	0,0301026712474976	0,11154105363332	0,269879746218439	0,787252769384908	0,989486941865718
"ENSG00000132341"	35367,980725826	-0,175379832629495	0,0712444206387343	-2,46166410025018	0,0138294117180977	0,0343468176277344
"ENSG00000132646"	24990,779420651	-0,339656485750699	0,149809232353766	-2,26726003740958	0,0233743451711334	0,054480204514257
"ENSG00000133710"	6,83059252256761	-5,58340433716218	1,17957222366244	-4,7334145592428	2,2077392163834e-06	2,78727076068404e-05
"ENSG00000134013"	5419,72533597129	-0,659579025534621	0,342055535174337	-1,92828052087639	0,0538202433581481	0,112465749913923
"ENSG00000134259"	6,15586237694446	-3,00888253659409	0,810361456713374	-3,7130128927866	0,000204806449422412	0,000886519345357011
"ENSG00000134551"	10,0446801893809	0,00818957729135529	0,65006583829891	0,0125980736240282	0,989948457442731	0,999590581734975
"ENSG00000134760"	5,84371014054443	-5,35460466024768	1,21373015641995	-4,41169285604781	1,02565540097275e-05	9,71167457796073e-05
"ENSG00000135052"	24031,8973435746	-0,283537117337385	0,128693457851223	-2,20319759894221	0,0275808244753538	0,0623655956420314
"ENSG00000135164"	3788,29938770194	0,00540130725692697	0,109608682243323	0,0492780968293777	0,960697674505549	0,999590581734975
"ENSG00000135312"	34,1444599807771	0,917533059771593	0,254465229241832	3,60573058450988	0,000311275952366339	0,0012745488319865
"ENSG00000135447"	5,24634966370687	3,85139561970707	1,01206410038277	3,80548585633109	0,000141526102012069	0,000691651756607371
"ENSG00000135624"	52579,1990957191	-0,346581645179921	0,0793890405342956	-4,36561070454302	1,26768078135434e-05	0,00011297272845599
"ENSG00000135631"	5731,95661183738	0,0406614244027711	0,0917527879981132	0,4431628214241	0,657647968409751	0,9225339556859
"ENSG00000136068"	58584,5780824927	-0,634484648251545	0,0946293328682972	-6,70494685970793	2,01479674934562e-11	7,63104268814652e-10
"ENSG00000136274"	9,76322589123408	0,312267125131179	0,91412282601907	0,341603027780278	0,732649658303061	0,980311847764829
"ENSG00000136352"	7,46197437948319	4,22938067040936	0,981589261387686	4,30870715153325	1,64211628272643e-05	0,000132635939989071
"ENSG00000136381"	13417,446607051	-0,0640865738719396	0,101363723311694	-0,632243684211096	0,527227656282668	0,790841484424002
"ENSG00000136383"	32,1202978378064	0,433899787674614	0,676562606286693	0,641329839460192	0,521308406197289	0,785852970536211
"ENSG00000136881"	2088,9268373096	1,82249000763775	0,149462311725126	12,1936425751896	3,36057247696038e-34	1,018253460519e-31
"ENSG00000136999"	65,7590780997725	0,696429004976473	0,317191542539888	2,19561025934005	0,0281198512937401	0,0630036693317159
"ENSG00000137492"	5165,59991647975	-0,0649134556373061	0,052339709364964	-1,24023339878839	0,214889078366468	0,37636642049156
"ENSG00000137699"	180,244725014407	0,124358903801316	0,178481859632318	0,696759346061846	0,485953411980417	0,754013763777438
"ENSG00000138131"	4925,99231968414	-0,339150412610679	0,19828848456659	-1,71038884760242	0,0871939919257738	0,179726391520473
"ENSG00000138297"	6106,43217454124	-0,0355050197978185	0,100775771019102	-0,35231702460593	0,724600521860024	0,980151598766014
"ENSG00000138315"	4,84225342351665	3,67237466186457	1,06340383975336	3,45341489712535	0,000553536928501135	0,00197319634512758
"ENSG00000139144"	4,26531218247235	1,32408371318092	1,15533808634845	1,14605735656633	0,251771420516215	0,435924230950932
"ENSG00000141367"	65323,2996456384	-0,232581582353183	0,0652509588838031	-3,56441631405535	0,000364666772579194	0,00141659015501918
"ENSG00000141753"	155542,459902901	-0,517218419644404	0,172380044137171	-3,00045415484885	0,0026957733135564	0,00777923156197704
"ENSG00000141934"	11120,9331302533	-0,0477859951662358	0,162759087562589	-0,293599551839831	0,769063918275902	0,989486941865718
"ENSG00000142619"	75,2414995114413	1,32050242065421	0,509635482209038	2,59107237771285	0,00956773666140479	0,0245680017661496
"ENSG00000142657"	146204,207578028	-0,207137854854808	0,0727633506875064	-2,84673331969543	0,00441703476366354	0,0121669230308187
"ENSG00000142789"	2,86618052204266	0,982096107617265	1,1437610177786	0,858654992040805	0,390530888718834	0,633819083192878
"ENSG00000142920"	165,361551775116	-0,0246844768924495	0,150123310278938	-0,164428008192628	0,869394216282782	0,999590581734975
"ENSG00000143127"	65,9997101147214	0,393684884538666	0,314099248130527	1,25337735407461	0,210068408983497	0,370062371639533
"ENSG00000143847"	37,6359261511788	0,380459604146575	0,286299458760267	1,32888691370232	0,1838852818596	0,337680244869448
"ENSG00000144381"	43197,3568711105	-0,287097744597952	0,0594738648387654	-4,82729254902601	1,3840173761148e-06	1,99693935696564e-05
"ENSG00000145920"	145359,189749424	0,54883753443771	0,0740737472884605	7,40933940199364	1,26930081080172e-13	7,69196291345844e-12
"ENSG00000146648"	24768,9285792177	-0,396895796144712	0,0987706078873729	-4,01835935440722	5,86047732144685e-05	0,000362392781305795
"ENSG00000146858"	566,360824120548	0,0330208688791236	0,202545377629946	0,163029486357636	0,870495218491007	0,999590581734975
"ENSG00000146966"	203,726810162028	0,128121050705848	0,149412385506111	0,857499532397246	0,391168873125637	0,633819083192878
"ENSG00000147180"	803,159728429015	0,115503015146531	0,190751471820742	0,605515721813535	0,54483638161909	0,809242272698943
"ENSG00000147571"	1,19638987775158	2,00588207428863	1,85624283624311	1,0806140420444	0,279868833622595	0,476405935885654
"ENSG00000147872"	4101,96067791305	0,27081686673382	0,238780177846825	1,13416812557844	0,256724031522933	0,44197375881505
"ENSG00000148942"	4,40020317255517	3,37175958070373	1,01692717810039	3,31563523260549	0,000914350899500199	0,00304448706097319
"ENSG00000149136"	40817,8415595975	-0,251434177245506	0,0906753922965785	-2,7729042122379	0,00555584718627418	0,0150305508700096
"ENSG00000149212"	1487,02207059386	0,694324249267116	0,153961268122164	4,50973324483264	6,49091933256903e-06	6,78189157851178e-05
"ENSG00000149527"	10,7658465741911	-1,55797835859306	0,627224568945193	-2,48392431631485	0,0129943422002177	0,0328107140555497
"ENSG00000150281"	19,7797263401501	0,849779152633374	0,42696080101947	1,99029782266738	0,0465581377297065	0,0993458854373316
"ENSG00000150687"	34493,8348019159	0,361205072484043	0,031885416216274	11,3282219693807	9,51159511505498e-30	1,44100665993083e-27
"ENSG00000151131"	1679,62264592762	-0,111241359464113	0,214683426790749	-0,518164634909335	0,604343406992262	0,871981201517407
"ENSG00000153113"	37117,1645454094	0,46444872805764	0,117147401365468	3,96465241775775	7,35029698893069e-05	0,000420215092008679
"ENSG00000153132"	2851,124593119	0,0350995879030595	0,16994949250259	0,206529524661714	0,836377304490553	0,99906163071248
"ENSG00000154175"	29,1067042887344	0,31647332469328	0,378335012104364	0,836489657494297	0,402879492726651	0,645886170879235
"ENSG00000154269"	5,45306006832846	3,73337298521348	0,949016339506893	3,93393962758675	8,35647810728787e-05	0,000468891271575597
"ENSG00000155465"	16693,8494197538	0,036637818504868	0,15650969888014	0,234092958883822	0,814912812083317	0,995485445812938
"ENSG00000155849"	951,829209763249	1,16790980693092	0,159136869188027	7,33902717132745	2,15151935177546e-13	1,08651727264661e-11
"ENSG00000156298"	4358,10486422303	0,948229117594462	0,484711362225329	1,95627581998719	0,0504326710242661	0,106118745280227
"ENSG00000156475"	4,88437146336819	4,92736190117506	1,26292069499436	3,90156081906399	9,55744413955455e-05	0,000505724199977606
"ENSG00000156689"	6,08961074478598	3,61766208609206	1,06444079693144	3,39865034910445	0,000677192304933161	0,00235849733787066
"ENSG00000158006"	2115,71464292188	0,0247649576161907	0,231722625287668	0,106873282595719	0,914889509170408	0,999590581734975
"ENSG00000159167"	306,152043986842	0,63535770545745	0,465319795552411	1,36542161225524	0,172120574953355	0,318003257383333
"ENSG00000159335"	27760,0603659357	0,403955964024141	0,113631383502855	3,554968280519	0,000378024690865149	0,00144989216876127
"ENSG00000159592"	6165,61720546381	0,0349339248553829	0,0711025023411735	0,491317797617843	0,623201693911084	0,890708081391785
"ENSG00000159882"	383,541683775022	0,111688571787332	0,199974998593926	0,558512676947831	0,576494350452701	0,847950428093051
"ENSG00000162545"	8144,8009766311	0,0961727396926694	0,362507074546777	0,265298931925422	0,790779187240747	0,989486941865718
