geometry/type,geometry/coordinates/0/0/0,geometry/coordinates/0/0/1,geometry/coordinates/0/1/0,geometry/coordinates/0/1/1,geometry/coordinates/0/2/0,geometry/coordinates/0/2/1,geometry/coordinates/0/3/0,geometry/coordinates/0/3/1,geometry/coordinates/0/4/0,geometry/coordinates/0/4/1,type,properties/co_F_level,properties/pm1_F_level,properties/pm1_level,properties/no2_F,properties/no2,properties/co_level,properties/last_measure,properties/pm1_F,properties/co,properties/o3_F,properties/count_SMAQ,properties/o3_level,properties/pm25,properties/pm1,properties/pm10_F_level,properties/iuca.level_F_global,properties/pm25_F_level,properties/count_F,properties/pm25_F,properties/no2_F_level,properties/count,properties/iuca.level_global,properties/pm10_level,properties/co_F,properties/pm10,properties/o3,properties/pm10_F,properties/o3_F_level,properties/no2_level,properties/pm25_level,properties/no2_M_level,properties/resp_APP_level,properties/iuca.level_APP_global,properties/no2_M,properties/pm25_M_level,properties/o3_M_level,properties/co_M_level,properties/pm1_M,properties/count_APP,properties/iaq_APP_level,properties/pm10_APP_level,properties/pm10_M,properties/iuca.level_M_global,properties/o3_M,properties/pm25_M,properties/count_M,properties/pm10_M_level,properties/pm1_M_level,properties/co_M,properties/co_APP_level
Polygon,-4.4329833984375,36.71905517578125,-4.4329833984375,36.720428466796875,-4.431610107421875,36.720428466796875,-4.431610107421875,36.71905517578125,-4.4329833984375,36.71905517578125,Feature,,,unhealthy-low,,4,good,2018-08-02T12:46:14+00:00,,193,,4118,good,11,7,,,,,,,4118,moderate,good,,12,1,,,good,moderate,good,,,4,moderate,good,good,7,,,,12,moderate,1,11,4118,good,unhealthy-low,193,
Polygon,-4.445343017578125,36.6998291015625,-4.445343017578125,36.701202392578125,-4.4439697265625,36.701202392578125,-4.4439697265625,36.6998291015625,-4.445343017578125,36.6998291015625,Feature,,,unhealthy,,5,good,2018-11-06T09:27:56+00:00,,43,,4105,good,15,10,,,,,,,4109,unhealthy-low,moderate,,18,1,,,good,unhealthy-low,good,good,good,5,unhealthy-low,good,good,10,4,good,good,18,unhealthy-low,1,15,4105,moderate,unhealthy,43,good
Polygon,-4.44671630859375,36.71630859375,-4.44671630859375,36.717681884765625,-4.445343017578125,36.717681884765625,-4.445343017578125,36.71630859375,-4.44671630859375,36.71630859375,Feature,,,unhealthy-low,,2,good,2018-08-02T11:34:21+00:00,,137,,3643,good,11,8,,,,,,,4065,moderate,good,,12,1,,,good,moderate,good,good,good,2,moderate,good,good,8,422,good,good,12,moderate,1,11,3643,good,unhealthy-low,137,good
Polygon,-4.41375732421875,36.727294921875,-4.41375732421875,36.728668212890625,-4.412384033203125,36.728668212890625,-4.412384033203125,36.727294921875,-4.41375732421875,36.727294921875,Feature,good,good,unhealthy-low,0,10,good,2018-12-14T19:29:00+00:00,1,1053,13,3,good,11,8,good,good,good,1,4,good,3953,moderate,good,1930,12,6,4,good,good,moderate,good,good,good,15,unhealthy-low,good,good,12,3950,good,good,16,unhealthy-low,3,15,2,moderate,unhealthy,615,good
Polygon,-4.50439453125,36.703948974609375,-4.50439453125,36.705322265625,-4.503021240234375,36.705322265625,-4.503021240234375,36.703948974609375,-4.50439453125,36.703948974609375,Feature,good,unhealthy-high,unhealthy-high,26,26,good,2018-06-23T15:39:02+00:00,19,550,270,3543,unhealthy-high,52,19,unhealthy-high,unhealthy-high,unhealthy-high,3543,52,good,3543,unhealthy-high,unhealthy-high,550,97,270,97,unhealthy-high,good,unhealthy-high,,,,,,,,,,,,,,,,,,,,
Polygon,-4.449462890625,36.71630859375,-4.449462890625,36.717681884765625,-4.448089599609375,36.717681884765625,-4.448089599609375,36.71630859375,-4.449462890625,36.71630859375,Feature,,,unhealthy-high,,3,good,2018-08-02T11:01:08+00:00,,129,,3378,good,24,17,,,,,,,3378,unhealthy-low,moderate,,25,1,,,good,unhealthy-low,good,,,3,unhealthy-low,good,good,17,,,,25,unhealthy-low,1,24,3378,moderate,unhealthy-high,129,
Polygon,-4.36431884765625,36.720428466796875,-4.36431884765625,36.7218017578125,-4.362945556640625,36.7218017578125,-4.362945556640625,36.720428466796875,-4.36431884765625,36.720428466796875,Feature,good,moderate,moderate,0,0,good,2018-12-16T11:21:34+00:00,3,371,0,1,good,8,3,good,good,good,1,8,good,3325,good,good,371,10,0,10,good,good,good,,good,good,,,,,,3324,good,good,,,,,,,,,good
Polygon,-4.46044921875,36.705322265625,-4.46044921875,36.706695556640625,-4.459075927734375,36.706695556640625,-4.459075927734375,36.705322265625,-4.46044921875,36.705322265625,Feature,,,,,,,2018-04-26T12:59:46+00:00,,,,,,,,,,,,,,3290,unhealthy-low,,,,,,,,,,unhealthy-low,unhealthy-low,,,,,,3290,good,good,,,,,,,,,good
Polygon,-4.445343017578125,36.717681884765625,-4.445343017578125,36.71905517578125,-4.4439697265625,36.71905517578125,-4.4439697265625,36.717681884765625,-4.445343017578125,36.717681884765625,Feature,,,unhealthy-low,,3,good,2018-08-02T10:39:59+00:00,,157,,3130,good,12,8,,,,,,,3251,moderate,good,,14,1,,,good,moderate,good,unhealthy,unhealthy,3,moderate,good,good,8,121,good,good,14,moderate,1,12,3130,good,unhealthy-low,157,good
Polygon,-4.439849853515625,36.705322265625,-4.439849853515625,36.706695556640625,-4.4384765625,36.706695556640625,-4.4384765625,36.705322265625,-4.439849853515625,36.705322265625,Feature,,,unhealthy,,8,good,2018-04-27T09:41:49+00:00,,84,,3221,good,17,11,,,,,,,3221,unhealthy-low,moderate,,21,2,,,good,unhealthy-low,good,,,8,unhealthy-low,good,good,11,,,,21,unhealthy-low,2,17,3221,moderate,unhealthy,84,
Polygon,-4.448089599609375,36.717681884765625,-4.448089599609375,36.71905517578125,-4.44671630859375,36.71905517578125,-4.44671630859375,36.717681884765625,-4.448089599609375,36.717681884765625,Feature,,,unhealthy,,2,good,2018-08-02T10:26:51+00:00,,173,,2799,good,14,10,,,,,,,2929,moderate,moderate,,15,1,,,good,moderate,good,unhealthy-low,unhealthy-low,2,moderate,good,good,10,130,good,good,15,moderate,1,14,2799,moderate,unhealthy,173,good
Polygon,-4.43023681640625,36.717681884765625,-4.43023681640625,36.71905517578125,-4.428863525390625,36.71905517578125,-4.428863525390625,36.717681884765625,-4.43023681640625,36.717681884765625,Feature,,,unhealthy,,10,good,2018-11-14T15:23:48+00:00,,303,,1365,good,18,13,,,,,,,2813,unhealthy-low,moderate,,20,8,,,good,unhealthy-low,good,good,unhealthy,10,unhealthy-low,good,good,13,1448,unhealthy-low,good,20,unhealthy-low,8,18,1365,moderate,unhealthy,303,unhealthy
Polygon,-4.4219970703125,36.71630859375,-4.4219970703125,36.717681884765625,-4.420623779296875,36.717681884765625,-4.420623779296875,36.71630859375,-4.4219970703125,36.71630859375,Feature,,,,,,,2018-11-20T00:19:03+00:00,,,,,,,,,,,,,,2765,good,,,,,,,,,,good,good,,,,,,2765,good,good,,,,,,,,,good
Polygon,-4.437103271484375,36.706695556640625,-4.437103271484375,36.70806884765625,-4.43572998046875,36.70806884765625,-4.43572998046875,36.706695556640625,-4.437103271484375,36.706695556640625,Feature,,,unhealthy-low,,9,good,2018-09-19T16:56:21+00:00,,45,,2727,good,13,8,,,,,,,2738,moderate,moderate,,16,2,,,good,moderate,good,good,good,9,moderate,good,good,8,11,good,good,16,moderate,2,13,2727,moderate,unhealthy-low,45,good
Polygon,-4.428863525390625,36.71905517578125,-4.428863525390625,36.720428466796875,-4.427490234375,36.720428466796875,-4.427490234375,36.71905517578125,-4.428863525390625,36.71905517578125,Feature,,,unhealthy,,8,good,2018-07-27T10:05:14+00:00,,377,,2732,good,18,13,,,,,,,2732,unhealthy-low,moderate,,20,7,,,good,unhealthy-low,good,,,8,unhealthy-low,good,good,13,,,,20,unhealthy-low,7,18,2732,moderate,unhealthy,377,
Polygon,-4.417877197265625,36.727294921875,-4.417877197265625,36.728668212890625,-4.41650390625,36.728668212890625,-4.41650390625,36.727294921875,-4.417877197265625,36.727294921875,Feature,,,,,,,2018-03-22T15:10:12+00:00,,,,,,,,,,,,,,2649,unhealthy-low,,,,,,,,,,unhealthy-low,unhealthy-low,,,,,,2649,good,good,,,,,,,,,good
Polygon,-4.445343017578125,36.71630859375,-4.445343017578125,36.717681884765625,-4.4439697265625,36.717681884765625,-4.4439697265625,36.71630859375,-4.445343017578125,36.71630859375,Feature,,,unhealthy-low,,2,good,2018-08-02T11:48:43+00:00,,149,,2619,good,11,8,,,,,,,2619,moderate,good,,12,1,,,good,moderate,good,,,2,moderate,good,good,8,,,,12,moderate,1,11,2619,good,unhealthy-low,149,
Polygon,-4.415130615234375,36.71905517578125,-4.415130615234375,36.720428466796875,-4.41375732421875,36.720428466796875,-4.41375732421875,36.71905517578125,-4.415130615234375,36.71905517578125,Feature,,,unhealthy,,8,good,2018-11-05T19:31:41+00:00,,148,,1916,good,20,13,,,,,,,2587,unhealthy-low,moderate,,24,2,,,good,unhealthy-low,good,unhealthy-low,unhealthy-low,8,unhealthy-low,good,good,13,671,good,good,24,unhealthy-low,2,20,1916,moderate,unhealthy,148,good
