stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url
511,511,Dr. Ortiz Ramos,36.716201,-4.490533,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=511
556,556,Avda. Arroyo de los Ángeles (Guardia Civil),36.72796,-4.429209,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=556
557,557,Avda. de Barcelona (Hospital Civil),36.725734,-4.430997,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=557
558,558,Plaza de Bailén,36.724372,-4.43181,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=558
559,559,Alonso de Palencia,36.720614,-4.43279,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=559
560,560,Hilera,36.718386,-4.430907,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=560
562,562,Dr. Ortiz Ramos,36.716079,-4.490418,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=562
564,564,Avda. Plutarco (Parmenides),36.721361,-4.479225,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=564
602,602,Mármoles,36.721582,-4.430145,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=602
603,603,Avda. de Barcelona,36.722339,-4.431662,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=603
604,604,Plaza de Bailén,36.724464,-4.431401,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=604
605,605,Camino de Suárez (Blas de Lezo),36.727072,-4.435464,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=605
606,606,Camino de Suárez (C/ Alonso Hernández),36.72758,-4.438526,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=606
607,607,Camino de Suárez (C/ Venegas),36.728046,-4.440311,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=607
608,608,Camino de Suárez (Rotonda),36.729029,-4.443043,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=608
609,609,Miguel Hernández (Alcalde Jose Luis Estrada),36.731253,-4.44587,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=609
610,610,Miguel Hernández (Luis Rosales),36.732894,-4.446328,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=610
611,611,Camino de la Corta (VPO),36.73444,-4.446878,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=611
612,612,Camino de la Corta (La Milagrosa),36.735617,-4.448932,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=612
613,613,Camino de la Corta (Plaza),36.736326,-4.451013,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=613
621,621,Armengual de la Mota,36.719105,-4.42922,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=621
623,623,Hilera (Armengual de la Mota),36.717963,-4.428277,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=623
624,624,Camino de la Corta (Capitán Eliseo),36.735931,-4.450301,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=624
625,625,Camino San Alberto (Tormes),36.736051,-4.45281,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=625
626,626,Camino  San Alberto,36.734978,-4.452082,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=626
627,627,Camino  San Alberto (Riotinto),36.733706,-4.451245,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=627
628,628,Camino Suárez (Rotonda),36.728965,-4.442838,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=628
629,629,Alcalde José Luis Estrada,36.730206,-4.445362,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=629
657,657,Martínez de la Rosa (Albacete),36.728085,-4.443788,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=657
659,659,Martínez de la Rosa,36.726968,-4.4403,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=659
660,660,Martínez de la Rosa (Berrocal),36.726119,-4.436535,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=660
661,661,Martínez de la Rosa (Séneca),36.725827,-4.434847,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=661
662,662,Avda. de Andalucía,36.7164,-4.428264,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=662
663,663,Galeno,36.729397,-4.445652,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=663
702,702,Avda. Dr. Gálvez Ginachero (Hospital Civil),36.726873,-4.429679,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=702
703,703,Avda. Arroyo de los Ángeles (Hospital Materno),36.728864,-4.4317,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=703
704,704,Avda. Arroyo de los Ángeles (Blas de Lezo),36.730092,-4.434446,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=704
705,705,Av. Arroyo de los Ángeles (Parque Victoria Eugenia),36.731637,-4.436567,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=705
706,706,Ntra. Sra. De los Clarines (Gibraljaire),36.731399,-4.437879,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=706
707,707,Ntra. Sra. Clarines (Pza. Monseñor Bocanegra),36.730421,-4.439107,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=707
709,709,Camino de Suárez (Cabas Galván),36.728335,-4.441146,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=709
710,710,Alcalde José Luis Estrada,36.730794,-4.447963,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=710
711,711,Camino de San Alberto (Carlinda),36.731056,-4.44963,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=711
713,713,Diego de Baena,36.732606,-4.452194,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=713
714,714,Platero (San Alberto),36.733808,-4.452873,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=714
715,715,Tambre,36.732895,-4.451491,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=715
